,date,ofz2,ofz2_previous,delta_ofz2,ofz4,ofz4_previous,delta_ofz4,ofz6,ofz6_previous,delta_ofz6,ofz10,ofz10_previous,delta_ofz10,ofz15,ofz15_previous,delta_ofz15
44,2016-06-10,9883.0,9888.0,-0.0005056634304207119,9766.0,9796.0,-0.0030624744793793387,9827.0,9814.0,0.0013246382718565316,9777.0,9801.0,-0.002448729721456994,10462.0,10510.0,-0.004567078972407232
45,2016-04-29,10060.0,10057.0,0.00029829969175698516,9941.0,9920.0,0.002116935483870968,10335.0,10260.0,0.007309941520467836,10470.0,10363.0,0.010325195406735502,9850.0,9783.0,0.006848614944291117
46,2016-03-18,10100.0,10090.0,0.0009910802775024777,9985.0,9981.0,0.00040076144674882274,10310.0,10247.0,0.006148140919293452,10417.0,10307.0,0.010672358591248666,9805.0,9647.0,0.016378148647247848
47,2016-01-29,9970.0,9900.0,0.007070707070707071,9592.0,9535.0,0.005977975878342947,0.0,9513.0,0.0,10400.0,10350.0,0.004830917874396135,9955.0,9820.0,0.01374745417515275
48,2015-12-11,9932.0,10100.0,-0.016633663366336635,0.0,9620.0,0.0,0.0,9700.0,0.0,10500.0,10500.0,0.0,10250.0,10354.0,-0.010044427274483292
49,2015-10-30,10181.0,10180.0,9.823182711198428e-05,10210.0,10137.0,0.007201341619808622,10357.0,10385.0,-0.002696196437168994,10663.0,10725.0,-0.005780885780885781,10450.0,10586.0,-0.012847156621953524
50,2015-07-31,9990.0,9950.0,0.004020100502512563,9800.0,9625.0,0.01818181818181818,0.0,9500.0,0.0,8815.0,8910.0,-0.010662177328843996,10675.0,10730.0,-0.005125815470643057
51,2015-06-15,9930.0,9940.0,-0.001006036217303823,9790.0,9770.0,0.0020470829068577278,9550.0,9580.0,-0.003131524008350731,8950.0,8930.0,0.0022396416573348264,10775.0,10850.0,-0.0069124423963133645
52,2015-04-30,10130.0,10150.0,-0.0019704433497536944,0.0,9924.0,0.0,0.0,9225.0,0.0,7730.0,7700.0,0.003896103896103896,9850.0,9830.0,0.002034587995930824
53,2015-03-13,9825.0,9780.0,0.004601226993865031,9360.0,9260.0,0.01079913606911447,8600.0,8560.0,0.004672897196261682,7000.0,6990.0,0.001430615164520744,8750.0,8720.0,0.0034403669724770644
54,2015-01-30,8825.0,8800.0,0.002840909090909091,8150.0,8190.0,-0.004884004884004884,0.0,7775.0,0.0,7050.0,7000.0,0.007142857142857143,7875.0,7740.0,0.01744186046511628
55,2014-12-16,8748.0,9109.0,-0.03963113404325393,7455.0,8567.0,-0.12980039687171704,7100.0,8370.0,-0.15173237753882915,6750.0,7388.0,-0.08635625338386572,7663.0,8500.0,-0.09847058823529412
56,2014-12-11,9300.0,9225.0,0.008130081300813009,8833.0,8779.0,0.00615104225993849,8599.0,8600.0,-0.00011627906976744187,7543.0,7450.0,0.012483221476510067,8406.0,8400.0,0.0007142857142857143
57,2014-10-31,9742.0,9700.0,0.004329896907216495,9339.0,9342.0,-0.0003211303789338471,9120.0,9089.0,0.0034107162504125868,8962.0,8871.0,0.010258144515838124,9889.0,9789.0,0.010215548064153642
58,2014-09-12,9816.0,9838.0,-0.002236226875381175,9435.0,9467.0,-0.0033801626703285096,0.0,9285.0,0.0,9040.0,9072.0,-0.003527336860670194,9892.0,10121.0,-0.022626222705266277
59,2014-07-25,9881.0,9894.0,-0.0013139276329088337,9605.0,9603.0,0.0002082682495053629,9831.0,9860.0,-0.0029411764705882353,9506.0,9493.0,0.0013694301063941852,9623.0,9665.0,-0.004345576823590274
60,2014-06-16,10015.0,10014.0,9.986019572598362e-05,9831.0,9831.0,0.0,10120.0,10145.0,-0.0024642681123706258,9824.0,9831.0,-0.0007120333638490489,10020.0,10065.0,-0.004470938897168405
61,2014-04-25,9781.0,9830.0,-0.004984740590030519,9824.0,9895.0,-0.007175341081354219,9497.0,9810.0,-0.031906218144750254,9720.0,9921.0,-0.020260054429996975,10690.0,10813.0,-0.011375196522704153
62,2014-03-14,9607.0,9651.0,-0.004559113045280282,9492.0,9620.0,-0.013305613305613306,9366.0,9570.0,-0.021316614420062698,9510.0,9750.0,-0.024615384615384615,10600.0,10550.0,0.004739336492890996
63,2014-03-03,9825.0,9862.0,-0.003751774487933482,9900.0,9929.0,-0.0029207372343639845,0.0,10319.0,0.0,10250.0,10269.0,-0.0018502288440938749,10207.0,10530.0,-0.030674264007597343
64,2014-02-14,9909.0,9913.0,-0.00040351054171290223,10056.0,10091.0,-0.003468437221286295,0.0,10456.0,0.0,10431.0,10483.0,-0.004960412095774111,10710.0,10715.0,-0.0004666355576294914
65,2013-12-13,9959.0,9965.0,-0.0006021073758153537,10189.0,10194.0,-0.0004904845987835982,10568.0,10575.0,-0.0006619385342789598,10600.0,10603.0,-0.00028293879090823354,10877.0,10905.0,-0.002567629527739569
66,2013-11-08,10029.0,10028.0,9.972078181092939e-05,9904.0,10020.0,-0.01157684630738523,0.0,10375.0,0.0,11048.0,11044.0,0.0003621876131836291,11220.0,11245.0,-0.0022232103156958646
67,2013-10-14,0.0,10024.0,0.0,9904.0,9894.0,0.001010713563776026,10369.0,10365.0,0.0003859141341051616,11022.0,11009.0,0.0011808520301571442,11170.0,11145.0,0.0022431583669807087
