,year,quarter,month,cpi_to_2010,monthly_inflation,ip_to_2014,ip,credit_spread,vix,neer,mortgage_spread,pure_monetary_shock_ofz2,capured_monetary_shock_ofz2,news_component_ofz2,pure_monetary_shock_ofz4,capured_monetary_shock_ofz4,news_component_ofz4,pure_monetary_shock_ofz6,capured_monetary_shock_ofz6,news_component_ofz6,pure_monetary_shock_ofz10,capured_monetary_shock_ofz10,news_component_ofz10,pure_monetary_shock_ofz15,capured_monetary_shock_ofz15,news_component_ofz15,pure_monetary_shock_one_component,capured_monetary_shock_one_component,news_component_one_component,pure_monetary_shock_uip_based_usd,capured_monetary_shock_uip_based_usd,news_component_uip_based_usd,pure_monetary_shock_uip_based_eur,capured_monetary_shock_uip_based_eur,news_component_uip_based_eur,key_rate
35,2016,3,9,157.96202967227518,0.20000000000000284,89.8929571480942,101.3,7.759545454545455,14.21952380952381,53.83,4.35,0.0004123775007739,-0.0001994415636218,-0.0006118190643957,0.002192683689796,0.0,-0.002192683689796,0.0030211267143605,0.0,-0.0030211267143605,0.0026774389155637,-0.001961796592669,-0.0046392355082327,0.0004560915308547,-0.0010726161106939,-0.0015287076415486,-0.1335830764107388,-0.1531756154912837,-0.0195925390805448,-0.2353166335246997,-0.2807770410115111,-0.0454604074868113,0.011734243509961,0.0115093615601317,-0.0002248819498292,7.5
36,2016,4,10,158.59387779096429,0.4000000000000057,95.10674866268366,105.8,-34.20285714285714,14.585238095238097,56.21,3.97,-0.0155385904213098,-0.0146336672559418,0.000904923165368,-0.0032238243264185,9.907856930545922e-05,0.0033229028957239,-0.0038553162774761,0.0,0.0038553162774761,-0.0028280909781677,-0.0040820598702114,-0.0012539688920436,0.0023574016701464,0.0006535235813092,-0.0017038780888372,1.449992656588439,1.0110375344554472,-0.4389551221329916,0.1189554583095355,0.0395220381446117,-0.0794334201649238,-0.0065045476478543,-0.070270783740618,-0.0637662360927636,7.5
37,2016,4,11,159.22825330212817,0.4000000000000057,96.62845664128659,101.6,-40.93190476190476,15.236190476190476,55.79,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
38,2016,4,12,159.8651663153367,0.4000000000000057,103.00593477961151,106.6,43.199090909090906,12.472380952380954,59.18,3.69,0.000820203648775,0.0,-0.000820203648775,0.0040122239304066,-0.0004039587962027,-0.0044161827266093,0.004857163852931,-0.0001977261492832,-0.0050548900022142,-0.0018173392300383,-0.0009097341554634,0.0009076050745749,0.0021663408872596,0.000781631656082,-0.0013847092311776,-0.424991736197881,-0.2420221713022059,0.1829695648956751,0.0329255222972057,-0.0251731694292412,-0.058098691726447,0.0186676440206608,-0.0004477692695288,-0.0191154132901896,7.25
39,2017,1,1,160.8243573132287,0.5999999999999943,87.45203862789018,84.9,110.31428571428572,11.6085,61.04,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
40,2017,1,2,161.14600602785515,0.20000000000000284,83.42924485100723,95.4,88.1042105263158,11.530526315789475,62.08,3.72,-0.0004585335360853,-0.0001000400160064,0.0003584935200789,0.0002933178409462,0.0,-0.0002933178409462,-0.0012160571689725,-0.0010712894429294,0.0001447677260431,-0.0022592021724638,-0.0036974118117317,-0.0014382096392678,-0.0010414363191604,-0.0024010756819054,-0.0013596393627449,0.2344717768897446,-0.0176008128737141,-0.2520725897634588,0.3295687916365263,0.2946437662510482,-0.034925025385478,0.0409907894906505,0.061316007061094,0.0203252175704435,7.25
41,2017,1,3,161.307152033883,0.09999999999999432,93.27389574342607,111.8,49.415000000000006,11.89782608695652,62.46,3.86,0.0004244527552903,0.0001992825827022,-0.0002251701725881,0.0018714988478939,0.0002005615724027,-0.0016709372754912,0.0022237866230939,0.0001981571386109,-0.002025629484483,-0.0073882375318601,-0.0073418485366589,4.638899520126457e-05,-0.001439770778859,-0.0027680383834655,-0.0013282676046064,0.2034190518363625,0.10245541061852,-0.1009636412178425,0.0808208591414524,0.0089104359738065,-0.0719104231676459,0.0470278763263925,-0.0011441028942671,-0.0481719792206597,7.25
42,2017,2,4,161.79107348998465,0.29999999999999716,88.61020095625476,95.0,31.058,13.136315789473684,63.82,3.75,0.0057046254253616,0.0052397429560059,-0.0004648824693557,0.0024295059449799,0.0013865504605328,-0.0010429554844471,0.0037438184871844,0.0023355391202802,-0.0014082793669042,0.0025522829548621,0.0032560434139121,0.0007037604590499,0.0042411497746366,0.0028927861146266,-0.00134836366001,-0.989623766565761,-0.9433408322626078,0.0462829343031532,-0.0052449003318116,-0.0538050252205185,-0.0485601248887069,0.0055837865563837,-0.0036167329589986,-0.0092005195153823,7.25
43,2017,2,5,162.4382377839446,0.4000000000000057,89.76213356868605,101.3,29.296,10.862272727272726,62.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25
44,2017,2,6,163.41286721064824,0.5999999999999943,91.10856557221634,101.5,33.23238095238095,10.513636363636364,60.5,3.52,0.0013143759183941,0.0005963029218843,-0.0007180729965098,0.0031765440906052,-0.0001954843123839,-0.0033720284029891,0.0042374973315532,0.0,-0.0042374973315532,-0.0057680470686772,-0.0051251130539644,0.0006429340147128,-0.0001034077118832,-0.0017446207526792,-0.0016412130407959,-0.1584837636616283,-0.036801377971075,0.1216823856905532,0.0626095170015388,0.0063734894254851,-0.0562360275760536,0.0240750053044644,0.0007495766794321,-0.0233254286250322,7.5
