,year,quarter,month,cpi,ip,credit_spread,vix,neer,mortgage_spread,monetary_shock,monetary_shock_2
24,2015,4,10,149.38648313776258,85.15073407006784,83.00181818181818,16.789545454545454,54.48,2.41,-0.0008701059038868,0.0
25,2015,4,11,150.5815750028647,86.25769361297873,93.841,16.21,54.21,2.28,0.0,0.0
26,2015,4,12,151.7862276028876,86.68898208104362,1.6782608695652173,18.025454545454547,50.15,1.91,-0.015046094140793,0.0
27,2016,1,1,153.30408987891647,77.76001692669612,-88.35444444444445,23.717894736842105,46.16,2.01,0.0071861466478218,0.0
28,2016,1,2,154.22391441818996,78.304337045183,-49.38380952380952,22.517,45.48,0.65,0.0,0.0
29,2016,1,3,154.99503399028092,81.35820618994515,-2.4272727272727277,15.84909090909091,49.7,0.29,0.0007450093017958,0.0
30,2016,2,4,155.61501412624204,90.30760887083912,-21.98095238095238,14.300476190476191,51.55,1.48,-0.0008412332700228,0.0
31,2016,2,5,156.23747418274704,74.68439253618395,-20.14842105263158,14.852857142857141,52.41,1.64,0.0,0.0
32,2016,2,6,156.86242407947805,74.75907692872013,-16.10809523809524,17.774545454545457,53.18,1.84,-0.0016555718746868,0.0
33,2016,3,7,157.64673619987542,82.01070739080598,-5.526190476190476,13.1585,54.38,1.24,0.0032203974597326,0.0
34,2016,3,8,157.64673619987542,77.33609706953003,17.491304347826087,12.399565217391304,53.33,3.79,0.0,0.0
35,2016,3,9,157.96202967227518,76.94941658418237,7.759545454545455,14.21952380952381,53.83,3.55,0.0004151585008103,0.0
36,2016,4,10,158.59387779096429,78.71925316561857,-34.20285714285714,14.585238095238097,56.21,3.4,0.0018672801349913,0.0
37,2016,4,11,159.22825330212817,79.11284943144666,-40.93190476190476,15.236190476190476,55.79,3.26,0.0,0.0
38,2016,4,12,159.8651663153367,80.93244496836994,43.199090909090906,12.472380952380954,59.18,3.15,0.002443886502528,0.0
39,2017,1,1,160.8243573132287,72.51547069165946,110.31428571428572,11.6085,61.04,2.63,0.0,0.0
40,2017,1,2,161.14600602785515,73.96578010549266,88.1042105263158,11.530526315789475,62.08,3.06,0.0001441934987945,0.0
41,2017,1,3,161.307152033883,76.25871928876292,49.415000000000006,11.89782608695652,62.46,3.04,-0.0006173767871243,0.0
42,2017,2,4,161.79107348998465,81.90186451613138,31.058,13.136315789473684,63.82,2.74,0.0030354274932888,0.0
43,2017,2,5,162.4382377839446,69.53468297419555,29.296,10.862272727272726,62.1,2.38,0.0,0.0
44,2017,2,6,163.41286721064824,66.33608755738256,33.23238095238095,10.513636363636364,60.5,2.1,-0.0013763402112619,0.0
45,2017,3,7,163.57628007785888,74.1637458891537,28.545238095238098,10.2645,57.97,2.05,0.0027673080535938,0.0
46,2017,3,8,162.7583986774696,70.45555859469602,30.111304347826085,11.975652173913044,57.2,1.99,0.0,0.0
47,2017,3,9,162.59564027879213,71.37148085642706,71.36714285714285,10.437999999999999,58.56,1.59,0.0028949812150175,0.0
48,2017,4,10,162.92083155934972,72.44205306927346,75.21863636363636,10.125454545454545,59.21,0.9,-0.0002578758322068,0.0
49,2017,4,11,163.24667322246844,72.15228485699636,75.3504761904762,10.54047619047619,58.04,0.95,0.0,0.0
50,2017,4,12,163.8996599153583,74.24470111784926,77.47380952380952,10.2645,58.03,0.73,0.0024226046032698,0.0
51,2018,1,1,164.3913588951044,67.56267801724283,61.336,11.062380952380952,58.51,0.58,0.0,0.0
52,2018,1,2,164.7201416128946,68.98149425560493,49.736315789473686,22.464736842105264,57.73,0.77,0.0037186945164511,0.0
53,2018,1,3,165.2143020377333,71.05093908327308,36.9095,19.023809523809526,57.51,0.62,0.0028850499158043,0.0
54,2018,2,4,165.87515924588425,78.22708393068366,3.729545454545455,18.267619047619046,54.1,0.65,0.0003952106914113,0.0
55,2018,2,5,166.5386598828678,67.97933593576411,-2.041428571428572,14.124545454545455,54.44,0.55,0.0,0.0
56,2018,2,6,167.37135318228215,65.12420382646202,-1.6238095238095238,13.678095238095239,54.8,0.8,-0.000573954873814,0.0
57,2018,3,7,167.873467241829,72.5483630626787,18.367727272727272,13.147619047619049,55.41,0.47,0.001245928407645,0.0
58,2018,3,8,167.873467241829,69.21113836179548,8.110869565217392,12.54695652173913,53.28,0.37,0.0,0.0
59,2018,3,9,168.20921417631268,70.3185165755842,50.927,12.910526315789474,52.22,0.39,-0.0147637922208098,0.0
60,2018,4,10,168.88205103301797,70.45915360873536,62.48913043478261,19.35217391304348,54.11,0.45,0.0015753934955131,0.0
61,2018,4,11,169.72646128818306,71.16374514482271,68.34714285714286,19.38904761904762,53.76,0.51,0.0,0.0
62,2018,4,12,171.0842729784885,72.65818379286398,72.84476190476191,24.953157894736844,52.79,0.56,0.0027819362499586,0.0
63,2019,1,1,172.7951157082734,64.7384417594418,79.709,19.57238095238095,52.82,0.97,0.0,0.0
64,2019,1,2,173.48629617110652,66.09794903639008,87.72200000000001,15.230526315789474,53.8,1.02,-0.0029438497474783,0.0
65,2019,1,3,174.00675505961982,68.94016084495485,92.07578947368421,14.485238095238095,54.49,2.37,-0.0002504329101173,0.0
66,2019,2,4,174.52877532479866,74.73113435593105,71.91272727272727,12.949047619047619,55.24,2.6,-0.0014949608556614,0.0
67,2019,2,5,175.05236165077307,62.62469059027021,81.4747619047619,16.721818181818183,55.54,2.67,0.0,0.0
68,2019,2,6,175.05236165077307,60.87119925374265,81.46736842105264,15.836000000000002,55.88,2.76,0.0017908314043042,0.0
